"File","ChangedByMap","Suspicious"
"backend\website-kit\templates\abner-firebase\source\my-project\colecao.html","False","Ãƒ,Ãƒ"
"backups\prod\20260511_103706\prod-backup.sql","False","ï¿½,ï¿½,ï¿½,ï¿½,ï¿½,ï¿½,ï¿½,ï¿½"
"frontend\src\app\vendas\page.client.tsx","True","Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ã‚,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ã‚,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ"
"scripts\audit-ptbr-encoding.ps1","True","Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ,Ãƒ"
